"#vm","ram","time","cost"
4,4,306145,1224580
4,4,308116,1232464
5,4,254429,1272145
5,4,258887,1294435
5,4,259248,1296240
5,4,261639,1308195
5,4,260566,1302830
5,4,266123,1330615
5,4,262726,1313630
5,4,260083,1300415
5,4,253949,1269745
5,4,263159,1315795
6,4,234968,1409808
6,4,235324,1411944
6,4,236943,1421658
6,4,269195,1615170
6,4,235027,1410162
6,4,242787,1456722
6,4,265045,1590270
6,4,226581,1359486
6,4,235397,1412382
6,4,233636,1401816
3,9,230612,691836
3,9,237641,712923
3,9,252501,757503
3,9,237288,711864
3,9,238829,716487
3,9,238151,714453
3,9,231081,693243
3,9,227894,683682
3,9,238088,714264
3,9,235947,707841
