confidence,hypo_step,max_arm_length,num_threads,exec_time_s,cost
54,3,2,30,69.47,2084100
44,3,2,30,58.59,1757700
34,3,2,30,67.77,2033100
24,3,2,30,53.58,1607400
14,3,2,30,64.65,1939500
64,2,2,30,76.15,2284500
54,2,2,30,85.76,2572800
44,2,2,30,89.53,2685900
34,2,2,30,83.03,2490900
24,2,2,30,75.84,2275200
14,2,2,30,73.62,2208600
64,1,2,30,114.1,3423000
54,1,2,30,109.37,3281100
44,1,2,30,109.95,3298500
34,1,2,30,115.07,3452100
24,1,2,30,109.04,3271200
14,1,2,30,110.72,3321600
64,3,1,30,55.71,1671300
54,3,1,30,56.99,1709700
44,3,1,30,68.44,2053200
34,3,1,30,61.57,1847100
24,3,1,30,62.85,1885500
14,3,1,30,67.22,2016600
64,2,1,30,72.29,2168700
54,2,1,30,72.59,2177700
44,2,1,30,75.82,2274600
34,2,1,30,70.87,2126100
24,2,1,30,70.46,2113800
14,2,1,30,65.11,1953300
64,1,1,30,105.47,3164100
54,1,1,30,108.35,3250500
44,1,1,30,104.35,3130500
34,1,1,30,100.25,3007500
